symbol,crc,provider_kind,provider_modules,provider_module_count,consumer_modules,consumer_module_count,import_record_count,in_kernel_base,in_kernel_mtk,in_kernel_nothing,in_device_base,in_device_mtk,in_device_mtk_union,in_kernel_nothing_union,in_any_published_nothing_list,required_stock_crc,exact_gki_crc,exact_gki_crc_status
__copy_overflow,0x7682ba4e,KERNEL_OR_BUILTIN,,0,aee_aed;apusys;aw883xx_driver;bt_drv_6878;camera_dpe_isp7sp;custom_ldo_wl2868;gps_drv_dl_v051;gz_main_mod;mediatek_drm;mtk_mbraink;wlan_drv_gen4m_6878,11,11,0,1,0,0,0,0,1,1,0x7682ba4e,0x7682ba4e,MATCH
__cpu_active_mask,0x15db3b99,KERNEL_OR_BUILTIN,,0,cpufreq_sugov_ext;lpm_gov_MHSP;monitor_hang;mtk_core_ctl;mtk_fpsgo;mtk_perf_ioctl_magt;scheduler;task_turbo,8,8,0,1,0,0,1,1,1,1,0x15db3b99,0x15db3b99,MATCH
__cpu_online_mask,0xac594e02,KERNEL_OR_BUILTIN,,0,aee_aed;aee_hangdet;apu_top;apusys;arm_dsu_pmu;blocktag;bt_drv_6878;cfg80211;cpufreq_sugov_ext;cpuqos_v3;ged;gz_ipc_mod;gz_trusty_mod;gz_virtio_mod;ieee802154;imgsensor;l2tp_core;lpm_gov_MHSP;mac80211;mac802154;mali_kbase_mt6878_r44;md_cooling_all;mediatek_drm;met;mmqos_common;monitor_hang;mtk_c2ps;mtk_cam_isp7sp;mtk_cg_peak_power_throttling;mtk_core_ctl;mtk_cpu_power_throttling;mtk_dvfsrc_regulator;mtk_emi;mtk_fpsgo;mtk_gpu_power_throttling;mtk_gpufreq_wrapper;mtk_icc_core;mtk_imgsys_cmdq;mtk_imgsys_v4l2;mtk_low_battery_throttling;mtk_lpm;mtk_lpm_dbg_common_v2;mtk_lpm_plat_v1;mtk_mbox;mtk_mbraink;mtk_mmdvfs_ftrace;mtk_peak_power_budget;mtk_perf_common;mtk_vmm_isp71_regulator;mtu3;powerhal_cpu_ctrl;rps_perf;rtc_mt6685;scheduler;snd_soc_audiodsp_common;task_turbo;thermal_trace;timer_mediatek;tipc;tkcore_drv;touch_boost;trace_mmstat;ufs_mediatek_mod;usb_logger;wlan_drv_gen4m_6878;xhci_mtk_hcd_v2,66,66,0,1,0,0,1,1,1,1,0xac594e02,0xac594e02,MATCH
__cpu_possible_mask,0xde7ece30,KERNEL_OR_BUILTIN,,0,8021q;aee_hangdet;blocktag;ccci_dpmaif;cpufreq_sugov_ext;gz_ipc_mod;gz_irq_mod;gz_trusty_mod;gz_virtio_mod;load_track;lpm_gov_MHSP;mac80211;mediatek_cpufreq_hw;met;monitor_hang;mrdump;mtk_cg_peak_power_throttling;mtk_cm_mgr;mtk_core_ctl;mtk_cpu_power_throttling;mtk_fpsgo;mtk_lpm_dbg_common_v2;mtk_lpm_plat_v1;mtk_mbraink;mtk_pbm;mtk_perf_common;mtk_perf_ioctl_magt;mtk_swpm_dbg_common_v1;mtk_swpm_perf_arm_pmu;powerhal_cpu_ctrl;ppp_generic;scheduler;task_turbo;thermal_interface;thermal_trace;timer_mediatek;tipc;tkcore;tkcore_drv;touch_boost;uload_ind;usb_boost;usbnet;wlan_drv_gen4m_6878;zram,45,45,0,1,0,0,1,1,1,1,0xde7ece30,0xde7ece30,MATCH
__cpu_present_mask,0xb3055449,KERNEL_OR_BUILTIN,,0,mrdump;mtk_lpm_dbg_common_v2,2,2,0,1,0,0,1,1,1,1,0xb3055449,0xb3055449,MATCH
__cpufreq_driver_target,0xaa4f60c2,KERNEL_OR_BUILTIN,,0,cpufreq_sugov_ext,1,1,0,1,0,0,1,1,1,1,0xaa4f60c2,0xaa4f60c2,MATCH
__cpuhp_remove_state,0x82d7e59a,KERNEL_OR_BUILTIN,,0,arm_dsu_pmu;gz_irq_mod;met;mtk_core_ctl;tkcore_drv;zram;zsmalloc,7,7,0,1,0,0,1,1,1,1,0x82d7e59a,0x82d7e59a,MATCH
__cpuhp_setup_state,0x4d01ac5c,KERNEL_OR_BUILTIN,,0,aee_hangdet;arm_dsu_pmu;gz_irq_mod;lpm_gov_MHSP;met;mtk_core_ctl;mtk_lpm_plat_v1;tkcore_drv;zram;zsmalloc,10,10,0,1,0,0,1,1,1,1,0x4d01ac5c,0x4d01ac5c,MATCH
__cpuhp_state_add_instance,0xf4b5123c,KERNEL_OR_BUILTIN,,0,arm_dsu_pmu;gz_irq_mod;zram,3,3,0,1,0,0,1,1,1,1,0xf4b5123c,0xf4b5123c,MATCH
__cpuhp_state_remove_instance,0x37e793c1,KERNEL_OR_BUILTIN,,0,arm_dsu_pmu;gz_irq_mod;zram,3,3,0,1,0,0,1,1,1,1,0x37e793c1,0x37e793c1,MATCH
