relocation_section	offset	info	type	symbol_value	symbol_expression
.rela.text	0x00000000000024e4	000000a100000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x00000000000024ec	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x000000000000251c	000000a100000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x0000000000002520	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x0000000000002554	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + da6
.rela.text	0x0000000000002558	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + da6
.rela.text	0x000000000000255c	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + 4d2
.rela.text	0x0000000000002560	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + 4d2
.rela.text	0x0000000000002574	000000ab0000011b	R_AARCH64_CALL26	0x0000000000000000	_printk + 0
.rela.text	0x0000000000002580	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + 488
.rela.text	0x0000000000002584	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + 488
.rela.text	0x0000000000002588	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + 4d2
.rela.text	0x000000000000258c	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + 4d2
.rela.text	0x0000000000002594	000000ab0000011b	R_AARCH64_CALL26	0x0000000000000000	_printk + 0
.rela.text	0x000000000000259c	000000ac0000011b	R_AARCH64_CALL26	0x0000000000000000	__stack_chk_fail + 0
.rela.text	0x00000000000025c8	0000009c00000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	g_sm + 0
.rela.text	0x00000000000025d8	0000009c0000011e	R_AARCH64_LDST64_ABS_LO12_NC	0x0000000000000000	g_sm + 0
.rela.text	0x00000000000025fc	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + 1be7
.rela.text	0x0000000000002600	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + 1be7
.rela.text	0x0000000000002604	000000c30000011b	R_AARCH64_CALL26	0x0000000000000000	power_supply_get_by_name + 0
.rela.text	0x0000000000002618	000000c40000011b	R_AARCH64_CALL26	0x0000000000000000	power_supply_get_property + 0
.rela.text	0x0000000000002644	0000008200000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.bss + 1c0
.rela.text	0x0000000000002648	000000a100000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x000000000000264c	000000820000011d	R_AARCH64_LDST32_ABS_LO12_NC	0x0000000000000000	.bss + 1c0
.rela.text	0x0000000000002658	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x0000000000002664	000000820000011d	R_AARCH64_LDST32_ABS_LO12_NC	0x0000000000000000	.bss + 1c0
.rela.text	0x0000000000002674	000000a80000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_lock + 0
.rela.text	0x0000000000002684	000000b50000011b	R_AARCH64_CALL26	0x0000000000000000	i2c_smbus_read_word_data + 0
.rela.text	0x0000000000002694	000000aa0000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_unlock + 0
.rela.text	0x00000000000026a0	000000a80000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_lock + 0
.rela.text	0x00000000000026b0	000000aa0000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_unlock + 0
.rela.text	0x00000000000026b8	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x00000000000026c4	000000aa0000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_unlock + 0
.rela.text	0x00000000000026c8	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x00000000000026d4	000000a80000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_lock + 0
.rela.text	0x00000000000026e0	000000b50000011b	R_AARCH64_CALL26	0x0000000000000000	i2c_smbus_read_word_data + 0
.rela.text	0x00000000000026f0	000000aa0000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_unlock + 0
.rela.text	0x00000000000026fc	000000a80000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_lock + 0
.rela.text	0x000000000000270c	000000aa0000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_unlock + 0
.rela.text	0x0000000000002714	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x0000000000002720	000000aa0000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_unlock + 0
.rela.text	0x0000000000002724	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x0000000000002730	000000a80000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_lock + 0
.rela.text	0x000000000000273c	000000b50000011b	R_AARCH64_CALL26	0x0000000000000000	i2c_smbus_read_word_data + 0
.rela.text	0x000000000000274c	000000aa0000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_unlock + 0
.rela.text	0x0000000000002758	000000a80000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_lock + 0
.rela.text	0x0000000000002768	000000aa0000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_unlock + 0
.rela.text	0x0000000000002770	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x000000000000277c	000000aa0000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_unlock + 0
.rela.text	0x0000000000002780	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x00000000000027ac	000000a80000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_lock + 0
.rela.text	0x00000000000027b8	000000b50000011b	R_AARCH64_CALL26	0x0000000000000000	i2c_smbus_read_word_data + 0
.rela.text	0x00000000000027c8	000000aa0000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_unlock + 0
.rela.text	0x00000000000027d8	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x00000000000027e4	000000aa0000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_unlock + 0
.rela.text	0x00000000000027e8	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x00000000000027f4	000000a80000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_lock + 0
.rela.text	0x0000000000002800	000000b50000011b	R_AARCH64_CALL26	0x0000000000000000	i2c_smbus_read_word_data + 0
.rela.text	0x0000000000002810	000000aa0000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_unlock + 0
.rela.text	0x0000000000002820	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
