relocation_section	offset	type	target_addend	owning_function
.rela.text	0x66c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 11d	tiny2c_usb_i2c_probe
.rela.text	0x670	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_i2c_probe
.rela.text	0x674	R_AARCH64_LDST32_ABS_LO12_NC	.bss + 0	tiny2c_usb_i2c_probe
.rela.text	0x6a4	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x6b0	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x6bc	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x6c8	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x6d4	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x6e0	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x6ec	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x6f8	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x704	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x710	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
.rela.text	0x718	R_AARCH64_CALL26	tiny2c_usb_read_chipid + 0	tiny2c_usb_i2c_probe
.rela.text	0x720	R_AARCH64_LDST32_ABS_LO12_NC	.bss + 0	tiny2c_usb_i2c_probe
.rela.text	0x724	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 11d	tiny2c_usb_i2c_probe
.rela.text	0x728	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 11d	tiny2c_usb_i2c_probe
.rela.text	0x72c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 4cb	tiny2c_usb_i2c_probe
.rela.text	0x730	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 4cb	tiny2c_usb_i2c_probe
.rela.text	0x738	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_i2c_probe
.rela.text	0x73c	R_AARCH64_LDST32_ABS_LO12_NC	.bss + 0	tiny2c_usb_i2c_probe
.rela.text	0x758	R_AARCH64_CALL26	__const_udelay + 0	tiny2c_usb_i2c_probe
