seq	offset	op	size	raw_hex	detail
162	0x0646	2	6	02aa60028514	WRITE addr=0x55 reg=0x60 len=2 data=8514
163	0x064c	4	4	04020005	WAIT ms=5 selector=2
164	0x0650	2	36	02aa3e20a2465dea5b4f598b57435583532351624fbc4dfe4b1849d9479745279c0d9ee2	WRITE addr=0x55 reg=0x3e len=32 data=a2465dea5b4f598b57435583532351624fbc4dfe4b1849d9479745279c0d9ee2
165	0x0674	4	4	04020002	WAIT ms=2 selector=2
166	0x0678	2	6	02aa60025922	WRITE addr=0x55 reg=0x60 len=2 data=5922
167	0x067e	4	4	04020005	WAIT ms=5 selector=2
168	0x0682	2	36	02aa3e20c0461f871d261bed196b171f158013a0110e6fcc6d496b0c69e06749650b63c0	WRITE addr=0x55 reg=0x3e len=32 data=c0461f871d261bed196b171f158013a0110e6fcc6d496b0c69e06749650b63c0
169	0x06a6	4	4	04020002	WAIT ms=2 selector=2
170	0x06aa	2	6	02aa6002f322	WRITE addr=0x55 reg=0x60 len=2 data=f322
171	0x06b0	4	4	04020005	WAIT ms=5 selector=2
172	0x06b4	2	38	02aa3e22de46fe5ae0e1e220e426e6fec86c8aebac6fe6cb9010b3f378f5b6d4e138663ab0dd	WRITE addr=0x55 reg=0x3e len=34 data=de46fe5ae0e1e220e426e6fec86c8aebac6fe6cb9010b3f378f5b6d4e138663ab0dd
173	0x06da	4	4	04020002	WAIT ms=2 selector=2
174	0x06de	2	6	02aa6002da24	WRITE addr=0x55 reg=0x60 len=2 data=da24
175	0x06e4	4	4	04020005	WAIT ms=5 selector=2
176	0x06e8	2	38	02aa3e22fe46ecff8c2162a3a4a1ce078a054b2809814e0410511213f71d36925e5f5b5b7c5d	WRITE addr=0x55 reg=0x3e len=34 data=fe46ecff8c2162a3a4a1ce078a054b2809814e0410511213f71d36925e5f5b5b7c5d
177	0x070e	4	4	04020002	WAIT ms=2 selector=2
178	0x0712	2	6	02aa60027824	WRITE addr=0x55 reg=0x60 len=2 data=7824
179	0x0718	4	4	04020005	WAIT ms=5 selector=2
180	0x071c	2	35	02aa3e1f1e475f5e6121e38364ca86a528306abcec2d2e8f54312b73e916ba765869dc	WRITE addr=0x55 reg=0x3e len=31 data=1e475f5e6121e38364ca86a528306abcec2d2e8f54312b73e916ba765869dc
181	0x073f	4	4	04020002	WAIT ms=2 selector=2
182	0x0743	2	6	02aa60025921	WRITE addr=0x55 reg=0x60 len=2 data=5921
183	0x0749	4	4	04020005	WAIT ms=5 selector=2
184	0x074d	2	38	02aa3e223b47fb933d3edeb041a3a33c4546474849ee6a054dea6e1951f7737d55b7577059bb	WRITE addr=0x55 reg=0x3e len=34 data=3b47fb933d3edeb041a3a33c4546474849ee6a054dea6e1951f7737d55b7577059bb
185	0x0773	4	4	04020002	WAIT ms=2 selector=2
186	0x0777	2	6	02aa60028624	WRITE addr=0x55 reg=0x60 len=2 data=8624
187	0x077d	4	4	04020005	WAIT ms=5 selector=2
188	0x0781	2	38	02aa3e225b47ba145d5e5f606162636465c28621694baaa46d6e6f707172737475767778797a	WRITE addr=0x55 reg=0x3e len=34 data=5b47ba145d5e5f606162636465c28621694baaa46d6e6f707172737475767778797a
189	0x07a7	4	4	04020002	WAIT ms=2 selector=2
190	0x07ab	2	6	02aa60026a24	WRITE addr=0x55 reg=0x60 len=2 data=6a24
191	0x07b1	4	4	04020005	WAIT ms=5 selector=2
192	0x07b5	2	38	02aa3e227b477b7c7d7e7f80010283e4c5c687c8898a8b8c8d4f8d909efc14d474b68598809a	WRITE addr=0x55 reg=0x3e len=34 data=7b477b7c7d7e7f80010283e4c5c687c8898a8b8c8d4f8d909efc14d474b68598809a
193	0x07db	4	4	04020002	WAIT ms=2 selector=2
194	0x07df	2	6	02aa60020224	WRITE addr=0x55 reg=0x60 len=2 data=0224
195	0x07e5	4	4	04020005	WAIT ms=5 selector=2
196	0x07e9	2	35	02aa3e1f9b479b1c9d5dffa02da2fc0429a6bec88961abf32f8ebd153d12f814f5b6b7	WRITE addr=0x55 reg=0x3e len=31 data=9b479b1c9d5dffa02da2fc0429a6bec88961abf32f8ebd153d12f814f5b6b7
197	0x080c	4	4	04020002	WAIT ms=2 selector=2
198	0x0810	2	6	02aa6002d521	WRITE addr=0x55 reg=0x60 len=2 data=d521
199	0x0816	4	4	04020005	WAIT ms=5 selector=2
200	0x081a	2	26	02aa3e16b8470d980d660a5f012c000000000000000000000000	WRITE addr=0x55 reg=0x3e len=22 data=b8470d980d660a5f012c000000000000000000000000
201	0x0834	4	4	04020002	WAIT ms=2 selector=2
202	0x0838	2	6	02aa60025218	WRITE addr=0x55 reg=0x60 len=2 data=5218
203	0x083e	4	4	04020005	WAIT ms=5 selector=2
204	0x0842	2	6	02aa00024500	WRITE addr=0x55 reg=0x00 len=2 data=4500
205	0x0848	4	4	040205dc	WAIT ms=1500 selector=2
206	0x084c	2	6	02aa3e024600	WRITE addr=0x55 reg=0x3e len=2 data=4600
207	0x0852	4	4	040205dc	WAIT ms=1500 selector=2
208	0x0856	3	8	03aa3e044600d38c	COMPARE addr=0x55 reg=0x3e len=4 expected=4600d38c
