file_offset	string
0x96ed	3[HYN][Error]hyn_gpio_configure fail
0x9713	hyn_vdd_gpio
0x9720	memcpy
0x9727	&g_device_mutex
0x9738	3[HYN]cst3xx_bootloader_enter detect success,buf[0]=%d.
0x9773	3[HYN][Error]Set TP to sleep mode fail, ret=%d!
0x97a5	3[HYN][Error]Can not find touch eint device node!
0x97d9	3[HYN][DRM]drm_panel_notifier_register fail: %d
0x980b	capacitive_hynitron_cst816t_update
0x982f	3[HYN][Info]find default TP firmware(%s)!
0x985b	hyn_find_fw_idx
0x986c	3[HYN][Error]hyn_firmware_info failed.
0x9895	hyn_input_dev_int
0x98a8	3[HYN][Error]Set TP to sleep mode selfcap
0x98d4	3[HYN][Error]allocate memory for platform_data fail
0x990a	3[HYN]Touch Panel Device Probe %s!
0x992f	3[HYN][Info]hyn_boot_update_fw enter.
0x9958	3[HYN][Error]hyn_ts_data->fw_length error:%d.
0x9988	hyntpfactorytest
0x999a	3[HYN][Info]hyn_find_fw_idx: proj_id:%d.
0x99c6	hyn_gesture_buf
0x99d7	3[HYN]config [hyn] hyn_ts_data->config_chip_type = %d
0x9a10	3[HYN][Info]irq in ts_data:%d irq in client:%d
0x9a41	3[HYN] en !!!
0x9a51	3[HYN][Error] cst3xx hyn send read touch info ending failed.
0x9a92	3[HYN][Info] cst3xx key up.\x20
0x9ab2	3[HYN][Error]Key number undefined!
0x9ad6	hynitron_driver_init
0x9aec	3[HYN][Error]Touch Probe : hyn_input_dev_int  fail...
0x9b24	3[HYN][Info] input character:%zd.
0x9b49	3[HYN][Info]the chip chip_ic_checkcode:0x%x.
0x9b7a	3[HYN][Error]cst3xx_firmware_info read error .
0x9bad	3[HYN][Error] the chip ic don't have firmware.\x20
0x9be0	3[HYN]cst644K_bootloader_enter detect success,buf[0]=0x%x.
0x9c1e	3[HYN][GESTURE]gestrue_id:%d,report_key:%d
0x9c4b	3[HYN]gesture is disabled
0x9c66	Reg = %d
0x9c71	3[HYN][Error]  iic read touch point data failed.
0x9ca5	3[HYN]All up
0x9cb4	3[HYN][Error]DTS Unable to get vdd_gpio
0x9cde	3[HYN][Error]hyn_platform_data_init fail,please check DTS.
0x9d1b	3[HYN][Info]find matched TP firmware(%s)!
0x9d48	3[HYN][Info]hyn_find_fw_idx 1\x20
0x9d6a	3[HYN] bootloader mode client->addr:0x%x.
0x9d97	hyn_create_gesture_sysfs
0x9db0	hyn_gesture_show
0x9dc1	hyn_gesture_store
0x9de8	author=Hynitron Driver Team
0x9e04	description=Hynitron Touchscreen Driver
0x9e2c	license=GPL v2
0x9e3b	vermagic=6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64
0x9e92	name=hynitron
0x9ea0	depends=yft_devinfo
0x9eb4	alias=i2c:hyn_ts
0x9ec5	alias=of:N*T*Chynitron,hyn_ts
0x9ee3	alias=of:N*T*Chynitron,hyn_tsC*
0xa45f	u<Zu=
0xa4bd	IBuE\t
0xa52c	A@&uJ
0xa535	uLAuM
0xa53e	uO?uP
0xa547	uR;uS
0xa55b	uL?uM
0xa564	uOAuP
0xa56d	uR=uS
0xaf7c	T<`y
0xb166	"/pXu"""
0xb1c5	e/pj
0xb5d2	"""t$%#"
0xb769	"""`)xn|"
0xb7ac	"*}"">"
0xbafc	!t'%\t
0xbbe9	(u)d
0xc1b2	$O@\t
0xc2d1	)t +
0xc316	@Qt +
0xc482	ynu-
0xc491	"t$%"""
0xc4af	"t$%"""
0xc5fd	$Vt1
0xc606	$Vt9
0xc6f9	$ x~
0xcbe1	AQRSTUVFEDC
0xcc68	<TUSVRFQEAD
0xcf25	u&0{
0xcf80	MNO`
0xd2e5	ADu+0
0xd466	WqNT
0xd4fd	9qau
0xdd4e	CSW_2205166_CST816D_SGD_FC_F013362_SHDZ_YJZN_S105.hex
0xdd8a	".&"""""
0xe111	IBuE\t
0xe189	A@&uJ
0xe192	uLAuM
0xe19b	uO?uP
0xe1a4	uR;uS
0xe1b8	uL?uM
0xe1c1	uOAuP
0xe1ca	uR=uS
0xec64	+%xb
0xed56	u&0{
0xedb3	MNO`#u
0xeee8	T<`y
0xef75	<PVx
0xf103	2=xr
0xf318	2=xr
0xf32d	4Lxr
0xf370	"/pXu"""
0xf3cf	e/pj
0xf7e2	"""t$%#"
0xf977	"""`)xq|"
0xfb1a	Hu+0
0xfc82	(u)d
0xfeb2	!t'%\t
0x104ae	,t +
0x104f0	@Nt +
0x10667	yqu-
0x10675	"t$%"""
0x10692	"t$%"""
0x1145f	"""u\9u]\"
0x115ad	AQRSTUVFEDC
0x11636	<SATQURVDFE
0x11987	,;CSW_2302271_CST816T_DWS_XPD_T9_QCG_C3315.hex
0x11bfc	Linux
0x11c14	Linux
0x11c58	hynitron
0x12088	_printk
0x120c8	gpio_to_desc
0x12108	gpiod_direction_output_raw
0x12148	__const_udelay
0x12188	disable_irq_nosync
0x121c8	enable_irq
0x12208	input_allocate_device
0x12248	input_set_abs_params
0x12288	input_register_device
0x122c8	input_free_device
0x12308	alloc_workqueue
0x12348	__flush_workqueue
0x12388	input_event
0x123c8	__stack_chk_fail
0x12408	pm_wakeup_dev_event
0x12448	gpiod_to_irq
0x12488	of_find_matching_node_and_match
0x124c8	request_threaded_irq
0x12508	irq_set_irq_wake
0x12548	kmalloc_caches
0x12588	kmalloc_trace
0x125c8	of_match_device
0x12608	of_find_property
0x12648	of_property_read_variable_u32_array
0x12688	of_get_named_gpio_flags
0x126c8	yft_touchpanel_device_add
0x12708	i2c_register_driver
0x12748	i2c_del_driver
0x12788	queue_work_on
0x127c8	kfree
0x12808	gpio_request
0x12848	gpiod_direction_input
0x12888	gpio_free
0x128c8	free_irq
0x12908	yft_set_touch_device_used
0x12948	i2c_transfer_buffer_flags
0x12988	memset
0x129c8	memcpy
0x12a08	fortify_panic
0x12a48	kobject_create_and_add
0x12a88	sysfs_create_group
0x12ac8	__mutex_init
0x12b08	sysfs_remove_group
0x12b48	mutex_lock
0x12b80	nJne
0x12b88	snprintf
0x12bc8	mutex_unlock
0x12c08	sprintf
0x12c48	__kmalloc
0x12c88	msleep
0x12cc8	_dev_err
0x12d08	second_touch_fw_version
0x12d48	irq_set_irq_type
0x12d88	input_set_capability
0x12dc8	module_layout
0x1eb01	Android (10087095, +pgo, +bolt, +lto, -mlgo, based on r487747c) clang version 17.0.2 (https://android.googlesource.com/toolchain/llvm-project d9f89f4d16663d5012e5c09495f3b30ece3d2362)
0x1f1e0	';>AE&JMNQTWX5
0x1f1fd	/23456
