sha256	module_name	filename	locations	symbol
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	hci_free_dev
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	hci_get_route
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	hci_mgmt_chan_register
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	hci_mgmt_chan_unregister
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	hci_recv_diag
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	hci_recv_frame
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	hci_register_cb
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	hci_register_dev
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	hci_release_dev
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	hci_reset_dev
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	hci_resume_dev
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	hci_set_fw_info
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	hci_set_hw_info
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	hci_suspend_dev
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	hci_unregister_cb
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	hci_unregister_dev
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	l2cap_add_psm
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	l2cap_chan_close
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	l2cap_chan_connect
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	l2cap_chan_create
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	l2cap_chan_del
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	l2cap_chan_list
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	l2cap_chan_put
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	l2cap_chan_send
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	l2cap_chan_set_defaults
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	l2cap_conn_get
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	l2cap_conn_put
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	l2cap_is_socket
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	l2cap_register_user
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	l2cap_unregister_user
d382f5702aa114bd1edb79db57eec867b304af48e7cb31ecc113564c04442c21	mtk_mbraink	mtk_mbraink.ko	vendor_dlkm	mbraink_netlink_send_msg
d418a73d920fe96f994b2d048117cf778d20b79d5f762d0fc1fa34dbc97f5758	blocktag	blocktag.ko	vendor_boot_platform	mmc_mtk_biolog_check
d418a73d920fe96f994b2d048117cf778d20b79d5f762d0fc1fa34dbc97f5758	blocktag	blocktag.ko	vendor_boot_platform	mmc_mtk_biolog_exit
d418a73d920fe96f994b2d048117cf778d20b79d5f762d0fc1fa34dbc97f5758	blocktag	blocktag.ko	vendor_boot_platform	mmc_mtk_biolog_init
d418a73d920fe96f994b2d048117cf778d20b79d5f762d0fc1fa34dbc97f5758	blocktag	blocktag.ko	vendor_boot_platform	mmc_mtk_biolog_send_command
d418a73d920fe96f994b2d048117cf778d20b79d5f762d0fc1fa34dbc97f5758	blocktag	blocktag.ko	vendor_boot_platform	mmc_mtk_biolog_transfer_req_compl
d418a73d920fe96f994b2d048117cf778d20b79d5f762d0fc1fa34dbc97f5758	blocktag	blocktag.ko	vendor_boot_platform	mtk_btag_get_aee_buffer
d418a73d920fe96f994b2d048117cf778d20b79d5f762d0fc1fa34dbc97f5758	blocktag	blocktag.ko	vendor_boot_platform	mtk_btag_mictx_enable
d418a73d920fe96f994b2d048117cf778d20b79d5f762d0fc1fa34dbc97f5758	blocktag	blocktag.ko	vendor_boot_platform	mtk_btag_mictx_get_data
d418a73d920fe96f994b2d048117cf778d20b79d5f762d0fc1fa34dbc97f5758	blocktag	blocktag.ko	vendor_boot_platform	mtk_btag_ufs_exit
d418a73d920fe96f994b2d048117cf778d20b79d5f762d0fc1fa34dbc97f5758	blocktag	blocktag.ko	vendor_boot_platform	mtk_btag_ufs_init
d418a73d920fe96f994b2d048117cf778d20b79d5f762d0fc1fa34dbc97f5758	blocktag	blocktag.ko	vendor_boot_platform	mtk_btag_ufs_send_command
d418a73d920fe96f994b2d048117cf778d20b79d5f762d0fc1fa34dbc97f5758	blocktag	blocktag.ko	vendor_boot_platform	mtk_btag_ufs_transfer_req_compl
d4e6e06b70a08f59e52e33bdfb2824815b97750b37ea0237483d509ab17ac49a	leds_mtk	leds-mtk.ko	vendor_boot_platform	mt_leds_call_notifier
d4e6e06b70a08f59e52e33bdfb2824815b97750b37ea0237483d509ab17ac49a	leds_mtk	leds-mtk.ko	vendor_boot_platform	mt_leds_classdev_register
d4e6e06b70a08f59e52e33bdfb2824815b97750b37ea0237483d509ab17ac49a	leds_mtk	leds-mtk.ko	vendor_boot_platform	mt_leds_classdev_unregister
d4e6e06b70a08f59e52e33bdfb2824815b97750b37ea0237483d509ab17ac49a	leds_mtk	leds-mtk.ko	vendor_boot_platform	mt_leds_notify_brightness_hw_changed
d4e6e06b70a08f59e52e33bdfb2824815b97750b37ea0237483d509ab17ac49a	leds_mtk	leds-mtk.ko	vendor_boot_platform	mt_leds_parse_dt
d4e6e06b70a08f59e52e33bdfb2824815b97750b37ea0237483d509ab17ac49a	leds_mtk	leds-mtk.ko	vendor_boot_platform	mtk_leds_brightness_set
d4e6e06b70a08f59e52e33bdfb2824815b97750b37ea0237483d509ab17ac49a	leds_mtk	leds-mtk.ko	vendor_boot_platform	mtk_leds_register_notifier
d4e6e06b70a08f59e52e33bdfb2824815b97750b37ea0237483d509ab17ac49a	leds_mtk	leds-mtk.ko	vendor_boot_platform	mtk_leds_unregister_notifier
d4e6e06b70a08f59e52e33bdfb2824815b97750b37ea0237483d509ab17ac49a	leds_mtk	leds-mtk.ko	vendor_boot_platform	setMaxBrightness
d6e3a55e3e1174a75445f61e2e9ec4165331e2f47732736dad516709b46f9d56	snd_soc_mtk_scp_ultra	snd-soc-mtk-scp-ultra.ko	vendor_dlkm	mtk_scp_ultra_pcm_platform
d6e3a55e3e1174a75445f61e2e9ec4165331e2f47732736dad516709b46f9d56	snd_soc_mtk_scp_ultra	snd-soc-mtk-scp-ultra.ko	vendor_dlkm	ultra_set_dsp_afe
d74f1d4bddef24cea1cbeb36aba906632f3dbede51e8e3957287b7c35d78d8b6	apusys	apusys.ko	vendor_dlkm	aov_recovery_cb
d74f1d4bddef24cea1cbeb36aba906632f3dbede51e8e3957287b7c35d78d8b6	apusys	apusys.ko	vendor_dlkm	apu_cmd_qos_end
