relocation_section	offset	type	symbol	addend
.rela.text	0x0000000000000540	R_AARCH64_ADR_PREL_PG_HI21	.rodata	+5
.rela.text	0x0000000000000544	R_AARCH64_ADD_ABS_LO12_NC	.rodata	+5
.rela.text	0x0000000000000564	R_AARCH64_CALL26	__pm_stay_awake	+0
.rela.text	0x0000000000000568	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x0000000000000580	R_AARCH64_CALL26	hrtimer_start_range_ns	+0
.rela.text	0x0000000000000594	R_AARCH64_CALL26	__pm_relax	+0
.rela.text	0x00000000000005ac	R_AARCH64_CALL26	__pm_stay_awake	+0
.rela.text	0x00000000000005cc	R_AARCH64_CALL26	__pm_stay_awake	+0
.rela.text	0x00000000000005e4	R_AARCH64_CALL26	__pm_stay_awake	+0
.rela.text	0x00000000000005f8	R_AARCH64_CALL26	__stack_chk_fail	+0
.rela.text	0x0000000000000614	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+199
.rela.text	0x0000000000000618	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+199
.rela.text	0x000000000000061c	R_AARCH64_CALL26	_printk	+0
.rela.text	0x0000000000000628	R_AARCH64_ADR_PREL_PG_HI21	.bss	+2c
.rela.text	0x0000000000000630	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+b4
.rela.text	0x0000000000000634	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+b4
.rela.text	0x0000000000000638	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+3dc
.rela.text	0x000000000000063c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+3dc
.rela.text	0x0000000000000640	R_AARCH64_LDST32_ABS_LO12_NC	.bss	+2c
.rela.text	0x0000000000000644	R_AARCH64_CALL26	_printk	+0
.rela.text	0x0000000000000648	R_AARCH64_LDST32_ABS_LO12_NC	.bss	+2c
.rela.text	0x000000000000064c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+142
.rela.text	0x0000000000000650	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+142
.rela.text	0x000000000000065c	R_AARCH64_CALL26	scnprintf	+0
