index	relocation_section	target_section	offset_hex	type	symbol	addend	info	symbol_value
392	.rela.text	.text	0x1530	R_AARCH64_CALL26	_dev_info	0	000000ab0000011b	0000000000000000
393	.rela.text	.text	0x154c	R_AARCH64_CALL26	regmap_field_update_bits_base	0	000000ac0000011b	0000000000000000
394	.rela.text	.text	0x155c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	507	0000009500000113	0000000000000000
395	.rela.text	.text	0x1560	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	507	0000009500000115	0000000000000000
396	.rela.text	.text	0x1564	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	4b5	0000009500000113	0000000000000000
397	.rela.text	.text	0x1568	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	4b5	0000009500000115	0000000000000000
398	.rela.text	.text	0x157c	R_AARCH64_CALL26	regmap_read	0	000000ba0000011b	0000000000000000
399	.rela.text	.text	0x1594	R_AARCH64_CALL26	_dev_err	0	0000009c0000011b	0000000000000000
400	.rela.text	.text	0x15dc	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	83c	0000009500000113	0000000000000000
401	.rela.text	.text	0x15e0	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	83c	0000009500000115	0000000000000000
402	.rela.text	.text	0x15ec	R_AARCH64_CALL26	_dev_err	0	0000009c0000011b	0000000000000000
403	.rela.text	.text	0x15f4	R_AARCH64_CALL26	__stack_chk_fail	0	000000aa0000011b	0000000000000000
404	.rela.text	.text	0x1628	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	1f	0000009500000113	0000000000000000
405	.rela.text	.text	0x162c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	1f	0000009500000115	0000000000000000
406	.rela.text	.text	0x1630	R_AARCH64_CALL26	_dev_err	0	0000009c0000011b	0000000000000000
407	.rela.text	.text	0x1638	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	507	0000009500000113	0000000000000000
408	.rela.text	.text	0x163c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	507	0000009500000115	0000000000000000
